+--------------------------------------+--------------------+--------------------------------------+-------------------+-------+-------+---------------------------+
| ID                                   | Agent Type         | Host                                 | Availability Zone | Alive | State | Binary                    |
| b2b08127-7286-4298-a583-e31ec496fc5a | Baremetal Node     | 0db7b3d7-759b-424b-8cd9-4ec2eadcce6e | None              | XXX   | UP    | ironic-neutron-agent      |
| b546f3b6-ade5-4e49-869b-5012ae5aa32f | Baremetal Node     | 136ede21-b5cc-4079-b55f-744d9a66591d | None              | XXX   | UP    | ironic-neutron-agent      |
| c0c26227-ba96-4f5f-af0d-d47c2adf5cd7 | Baremetal Node     | eb3afa5c-5d44-4569-82e2-9e6564f88e6e | None              | XXX   | UP    | ironic-neutron-agent      |
| c74d45dd-31e2-47e6-8871-cb50a35a9c57 | Baremetal Node     | 6a5591a5-df8c-4d10-8987-418e6ec80df8 | None              | XXX   | UP    | ironic-neutron-agent      |
| cbfb1e65-e36f-42d8-bbd7-9d86b108f6d4 | Baremetal Node     | 3420cb52-0bd3-4b07-8ecf-3be97914494f | None              | XXX   | UP    | ironic-neutron-agent      |
| de312ea0-2c43-4e66-b17c-5fb343f38fac | Baremetal Node     | 28858d1c-7422-451b-8a71-decaec279d40 | None              | XXX   | UP    | ironic-neutron-agent      |
| df82ba58-788f-463e-b18a-166a1fc6992f | Baremetal Node     | b6181712-8c6a-4d27-b200-576ab849f033 | None              | XXX   | UP    | ironic-neutron-agent      |
| e0d12f35-edf9-4835-8ad1-dba1eee2aa0a | Baremetal Node     | 7fe2caf6-1c63-4a70-9431-ce3fa9dbdd5f | None              | XXX   | UP    | ironic-neutron-agent      |
| e9f22f41-0ed0-4139-be91-7031af0fd90a | Baremetal Node     | 6073d8af-ea74-43ca-9918-31cff5e5a34a | None              | XXX   | UP    | ironic-neutron-agent      |
| eb9e032a-df78-4cc4-8fea-80530972aa79 | Baremetal Node     | 27d95759-24ae-4c39-8af7-fcbed7c5f20c | None              | XXX   | UP    | ironic-neutron-agent      |
| f3ba2b38-abd1-4646-9067-9ae1a30967b1 | Baremetal Node     | e735ed23-5a85-4e70-90a1-600f4c3e4665 | None              | XXX   | UP    | ironic-neutron-agent      |
| f6e34c3b-2062-4186-b8ca-3815278748bc | Baremetal Node     | f90ae0f6-76ba-4b39-be78-a72d04eebb57 | None              | XXX   | UP    | ironic-neutron-agent      |
| f8160ea1-dbee-4226-b5fc-58a83a4983da | Baremetal Node     | 447c5793-ce6e-4199-8a65-484e0f289589 | None              | XXX   | UP    | ironic-neutron-agent      |
| fa8e1943-5d08-497c-b6d4-95dee711f034 | Baremetal Node     | 5a190f5f-4bf1-4990-8408-e4113b1ff035 | None              | XXX   | UP    | ironic-neutron-agent      |
+--------------------------------------+--------------------+--------------------------------------+-------------------+-------+-------+---------------------------+
